spot,ville,region,url
Fréjus,Frejus,cote-dazur,https://www.surf-report.com/meteo-surf/meteo-surf/frejus-s102801.html
No spot name,Le Lavandou,cote-dazur,https://www.surf-report.com/meteo-surf/meteo-surf/le-lavandou-s1047.html
Le Prado,Marseille,cote-dazur,https://www.surf-report.com/meteo-surf/meteo-surf/le-prado-s1050.html
No spot name,Marseille,cote-dazur,https://www.surf-report.com/meteo-surf/meteo-surf/marseille-s1060.html
Carro,Martigues,cote-dazur,https://www.surf-report.com/meteo-surf/meteo-surf/carro-martigues-s1097.html
No spot name,Nice,cote-dazur,https://www.surf-report.com/meteo-surf/meteo-surf/nice-s1065.html
Cap St Louis,St Cyr/mer,cote-dazur,https://www.surf-report.com/meteo-surf/meteo-surf/cap-saint-louis-s1008.html
La Madrague,St Cyr/mer,cote-dazur,https://www.surf-report.com/meteo-surf/meteo-surf/la-madrague-saint-cyr-mer-s1037.html
Les Lecques,St Cyr/mer,cote-dazur,https://www.surf-report.com/meteo-surf/meteo-surf/les-lecques-s1098.html
No spot name,St Laurent Du Var,cote-dazur,https://www.surf-report.com/meteo-surf/meteo-surf/saint-laurent-var-s1084.html
L'arquet,Sausset,cote-dazur,https://www.surf-report.com/meteo-surf/meteo-surf/arquet-sausset-s1030.html
L'hermitage,Sausset,cote-dazur,https://www.surf-report.com/meteo-surf/meteo-surf/hermitage-sausset-s1076.html
La Couronne,Sausset,cote-dazur,https://www.surf-report.com/meteo-surf/meteo-surf/la-couronne-sausset-s1035.html
Brutal Beach,Six Fours,cote-dazur,https://www.surf-report.com/meteo-surf/meteo-surf/brutal-beach-six-fours-s1004.html
No spot name,Farinole,corse,https://www.surf-report.com/meteo-surf/meteo-surf/farinole-s1023.html
Capo Di Feno,Villanova,corse,https://www.surf-report.com/meteo-surf/meteo-surf/capo-di-feno-s1012.html
Les Crs,Villanova,corse,https://www.surf-report.com/meteo-surf/meteo-surf/les-crs-s1054.html
